iter	Logloss
0	0.6897788273
1	0.6869470274
2	0.6843943196
3	0.6821510785
4	0.679690344
5	0.6772792212
6	0.6749166837
7	0.6732108972
8	0.6704045658
9	0.6676720991
10	0.6648132791
11	0.6622773871
12	0.659775577
13	0.6574826403
14	0.654760769
15	0.6523221892
16	0.6497174504
17	0.6475651599
18	0.6449343707
19	0.6430506646
20	0.6421067479
21	0.6398333755
22	0.6369742357
23	0.6349432096
24	0.6334523412
25	0.6312738594
26	0.6301562607
27	0.629109396
28	0.6283096107
29	0.6260062587
30	0.6243410229
31	0.6222998645
32	0.6204573071
33	0.6185977315
34	0.6171745971
35	0.6153209513
36	0.6146462598
37	0.6139838286
38	0.6118369875
39	0.6103613042
40	0.6090849387
41	0.6070775854
42	0.6053779236
43	0.6033756983
44	0.6021619184
45	0.6002480246
46	0.5988082541
47	0.5974190505
48	0.5961600008
49	0.5944187253
50	0.5938799198
51	0.5926374408
52	0.5913206473
53	0.5896175203
54	0.588373064
55	0.5871778757
56	0.5861729129
57	0.5843305487
58	0.58390414
59	0.5825495494
60	0.5820006584
61	0.5805226074
62	0.5797358577
63	0.5783033954
64	0.5774373174
65	0.575734977
66	0.5748649569
67	0.5736361183
68	0.572495287
69	0.5713726792
70	0.5703741044
71	0.5697430598
72	0.5688735551
73	0.567677313
74	0.5667214747
75	0.5659620944
76	0.5654981959
77	0.5645618569
78	0.5636043755
79	0.5623981539
80	0.5613830384
81	0.5599018889
82	0.5584372762
83	0.5575176794
84	0.5563990092
85	0.5555421445
86	0.5542479417
87	0.5532735376
88	0.5524396484
89	0.5521223731
90	0.5513099862
91	0.5505222564
92	0.5498813833
93	0.5496771951
94	0.5492105921
95	0.5482607348
96	0.5469373595
97	0.5458980666
98	0.5453496196
99	0.5451684193
100	0.5443688068
101	0.5431957902
102	0.5421015987
103	0.5411888762
104	0.5403717441
105	0.5395683579
106	0.53846754
107	0.5376162258
108	0.5368369343
109	0.5366455424
110	0.5359430953
111	0.5347922513
112	0.5338535664
113	0.5332376627
114	0.5326532387
115	0.5319353368
116	0.5313422588
117	0.5310455502
118	0.5305373544
119	0.5297026686
120	0.5288861004
121	0.5282993642
122	0.527637561
123	0.5266118862
124	0.5258530923
125	0.5254563792
126	0.524685023
127	0.524106303
128	0.5234941935
129	0.5222029342
130	0.521503556
131	0.520514797
132	0.5200263818
133	0.51918581
134	0.5186808686
135	0.5175983521
136	0.5170401066
137	0.5166455545
138	0.5157254153
139	0.5153268608
140	0.5151547041
141	0.5146368091
142	0.5139506851
143	0.5135756467
144	0.5128506739
145	0.5126448359
146	0.5120486694
147	0.511511578
148	0.5109121874
149	0.5102825855
150	0.5093526789
151	0.5086545989
152	0.5081272291
153	0.5075108908
154	0.5064059821
155	0.5050987037
156	0.5048299047
