iter	Passed	Remaining
0	31	31746
1	50	25276
2	71	23627
3	106	26447
4	123	24559
5	141	23431
6	155	22087
7	186	23169
8	216	23833
9	241	23861
10	264	23821
11	287	23631
12	308	23448
13	337	23758
14	361	23745
15	395	24320
16	419	24248
17	439	23984
18	462	23879
19	495	24278
20	501	23385
21	527	23441
22	551	23438
23	575	23415
24	586	22885
25	609	22822
26	619	22328
27	644	22388
28	650	21766
29	671	21712
30	686	21465
31	712	21558
32	735	21544
33	767	21809
34	776	21419
35	790	21169
36	793	20662
37	799	20237
38	837	20646
39	867	20826
40	896	20972
41	923	21072
42	947	21095
43	972	21138
44	998	21189
45	1021	21178
46	1046	21226
47	1073	21295
48	1100	21359
49	1137	21607
50	1146	21327
51	1172	21381
52	1197	21389
53	1222	21414
54	1244	21377
55	1272	21458
56	1287	21294
57	1311	21302
58	1315	20977
59	1340	20994
60	1350	20783
61	1375	20810
62	1403	20873
63	1427	20871
64	1454	20923
65	1483	20990
66	1494	20806
67	1515	20765
68	1540	20782
69	1564	20785
70	1589	20802
71	1608	20727
72	1632	20736
73	1662	20797
74	1689	20841
75	1701	20683
76	1727	20704
77	1742	20602
78	1779	20743
79	1804	20754
80	1830	20767
81	1855	20771
82	1878	20751
83	1904	20772
84	1930	20775
85	1956	20792
86	1985	20835
87	2013	20862
88	2038	20870
89	2048	20717
90	2071	20694
91	2095	20680
92	2122	20697
93	2127	20509
94	2137	20366
95	2167	20412
96	2194	20425
97	2220	20440
98	2245	20440
99	2254	20290
100	2291	20397
101	2314	20378
102	2339	20376
103	2364	20367
104	2390	20377
105	2422	20431
106	2445	20409
107	2468	20388
108	2496	20407
109	2509	20304
110	2534	20299
111	2557	20274
112	2585	20291
113	2612	20303
114	2636	20293
115	2662	20290
116	2686	20276
117	2701	20196
118	2724	20169
119	2753	20193
120	2776	20171
121	2801	20161
122	2841	20258
123	2865	20245
124	2892	20250
125	2916	20233
126	2946	20252
127	2970	20239
128	2994	20216
129	3021	20221
130	3044	20192
131	3069	20183
132	3093	20164
133	3121	20176
134	3147	20168
135	3176	20182
136	3205	20195
137	3225	20148
138	3249	20129
139	3277	20131
140	3290	20049
141	3318	20048
142	3340	20017
143	3361	19983
144	3392	20001
145	3403	19907
146	3427	19889
147	3451	19871
148	3483	19897
149	3507	19875
150	3532	19861
151	3555	19836
152	3579	19817
153	3606	19811
154	3632	19802
155	3658	19791
156	3672	19716
157	3698	19710
158	3725	19702
159	3754	19712
160	3760	19597
161	3783	19569
162	3806	19548
163	3838	19566
164	3871	19591
165	3893	19560
166	3914	19526
167	3937	19500
168	3951	19430
169	3983	19450
170	4009	19436
171	4032	19413
172	4070	19460
173	4089	19414
174	4123	19439
175	4148	19422
176	4172	19399
177	4198	19388
178	4211	19314
179	4234	19290
180	4247	19218
181	4271	19196
182	4294	19171
183	4316	19140
184	4339	19117
185	4369	19122
186	4395	19108
187	4419	19089
188	4443	19066
189	4465	19038
190	4477	18964
191	4507	18969
192	4531	18946
193	4556	18930
194	4581	18914
195	4606	18894
196	4630	18875
197	4656	18861
198	4664	18776
199	4687	18748
200	4708	18718
201	4733	18700
202	4765	18709
203	4792	18700
204	4816	18678
205	4839	18654
206	4865	18639
207	4893	18631
208	4921	18628
209	4947	18612
210	4973	18598
211	5003	18598
212	5008	18507
213	5036	18497
214	5062	18482
215	5089	18474
216	5118	18468
217	5135	18423
218	5156	18389
219	5185	18384
220	5211	18368
221	5237	18354
222	5264	18343
223	5290	18328
224	5316	18311
225	5339	18285
226	5366	18276
227	5397	18274
228	5421	18254
229	5445	18228
230	5471	18215
231	5502	18216
232	5525	18190
233	5548	18163
234	5573	18145
235	5601	18135
236	5632	18132
237	5658	18118
